CODE_PRODUIT;PRODUIT;QUANTITE_A_STOCKER;CAPACITE_STOCKAGE_ETE_AUT;RESTE_A_STOCKER;QUANTITE_TRANSFEREE;COUT_TRANSFERT;COUT_UNITAIRE_MOYEN
CO0100;BLE TENDRE;6300805298.52;85026922680.0;-55950169846.53;3092838000;18025707840.0;5.83
CO0133;BLE MELANGE VRM CRC;79737.83;175000.0;-56469.21;22260;96072.24;4.52
CO0152;BLE NFV 30-001;2956676.6;15236910.0;-5305323.4;723060;3365713.8;4.76
CO0154;BLE ARKEOS NF V30-001;8527.4;36960.0;-19458.15;4494;28268.88;7.36
CO0166;BLE DE FORCE IZALCO CS;8926.06;0.0;0.0;3627;18381.93;5.22
CO0173;BLE MEUNIER EXPORT;285381.56;0.0;0.0;179144;761759.32;4.76
CO0175;BLE DE FORCE CRC IZALCO CS;7389.89;7800.0;-972.29;1827;8754.27;4.59
CO0200;BLE DUR;170264396.28;1626160320.0;-901431296.92;75464928;332200566.72;4.58
CO0501;AVOINE BLANCHE;4973616.05;20068290.0;-10531746.62;872370;5794995.96;6.61
CO0502;AVOINE NOIRE;1621015.2;27552000.0;-10123528.87;684288;3898184.4;6.41
CO0504;AVOINE BLANCHE;5145120.05;20760300.0;-10894910.29;1940112;9388076.58;4.97
CO0700;COLZA;1691218469.07;20326483680.0;-11065824162.12;955037952;4590406218.24;4.98
